Accession,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
PX386760,3,7.199,26.689,20.734,19.646,24.013,24.013,28.571,24.842,24.842,25.687,25.687,3a,7.199,3e,19.646
PX386761,3,8.138,26.809,20.893,20.096,24.329,24.329,29.383,24.367,24.367,26.570,26.570,3a,8.138,3e,20.096
PX386762,3,6.573,27.796,21.053,21.417,22.713,22.713,29.058,25.475,25.475,27.053,27.053,3a,6.573,3d,21.053
PX386763,3,7.512,28.666,22.169,20.934,24.132,24.132,29.402,26.108,26.108,26.656,26.656,3a,7.512,3e,20.934
PX386768,3,9.077,29.276,22.488,21.129,25.434,25.434,30.032,25.949,25.949,28.110,28.110,3a,9.077,3e,21.129
PX386771,3,7.512,26.367,20.574,18.971,23.223,23.223,29.027,25.079,25.079,25.556,25.556,3a,7.512,3e,18.971
PX386772,3,9.703,28.502,22.843,20.323,23.944,23.944,28.455,25.475,25.475,28.571,28.571,3a,9.703,3e,20.323
PX386773,3,9.875,29.126,21.975,20.773,25.750,25.750,29.618,26.349,26.349,27.027,27.027,3a,9.875,3e,20.773
PX386776,3,9.233,28.099,22.169,20.129,24.290,24.290,28.943,25.284,25.284,25.968,25.968,3a,9.233,3e,20.129
PX386781,3,7.994,27.677,20.734,20.484,23.438,23.438,29.374,25.039,25.039,27.258,27.258,3a,7.994,3d,20.734
PX386787,3,7.668,27.842,20.096,20.773,24.448,24.448,28.571,25.000,25.000,26.979,26.979,3a,7.668,3d,20.096
PX386791,3,8.138,27.018,20.701,20.451,25.434,25.434,29.058,23.855,23.855,26.171,26.171,3a,8.138,3e,20.451
PX386796,3,10.955,29.441,23.445,21.865,27.962,27.962,29.221,28.006,28.006,28.918,28.918,3a,10.955,3e,21.865
PX386797,3,8.451,29.308,21.497,19.132,23.223,23.223,28.344,25.316,25.316,28.254,28.254,3a,8.451,3e,19.132
PX386799,3,7.981,28.007,21.691,20.645,25.118,25.118,27.922,25.276,25.276,25.765,25.765,3a,7.981,3e,20.645
PX386802,3,8.138,27.638,22.807,20.773,24.329,24.329,28.409,26.382,26.382,26.409,26.409,3a,8.138,3e,20.773
PX386808,3,9.233,27.183,20.574,18.357,24.487,24.487,27.597,24.209,24.209,26.494,26.494,3a,9.233,3e,18.357
PX386809,3,10.329,26.030,21.497,21.675,26.066,26.066,27.597,25.608,25.608,27.742,27.742,3a,10.329,3d,21.497
PX386810,3,10.172,26.194,21.338,21.839,26.224,26.224,27.435,25.770,25.770,27.903,27.903,3a,10.172,3d,21.338
PX386812,3,7.981,28.336,22.293,20.290,24.132,24.132,29.822,25.827,25.827,27.141,27.141,3a,7.981,3e,20.290
PX386817,3,7.500,28.501,20.415,22.186,24.763,24.763,29.545,26.382,26.382,27.053,27.053,3a,7.500,3d,20.415
PX386820,3,8.833,27.974,21.372,21.739,23.211,23.211,29.665,26.582,26.582,28.323,28.323,3a,8.833,3d,21.372
PX386821,3,9.077,26.689,20.541,21.578,23.539,23.539,28.201,25.316,25.316,27.141,27.141,3a,9.077,3d,20.541
PX386822,3,10.172,28.226,21.178,22.097,25.196,25.196,29.905,26.741,26.741,28.254,28.254,3a,10.172,3d,21.178
PX386824,3,8.163,24.865,21.622,16.667,20.968,20.968,25.397,19.737,19.737,22.162,22.162,3a,8.163,3e,16.667
PX386828,3,8.138,27.677,21.053,21.256,24.290,24.290,28.708,26.457,26.457,25.443,25.443,3a,8.138,3d,21.053
PX386830,3,7.512,27.796,21.212,21.739,24.487,24.487,29.221,25.791,25.791,26.817,26.817,3a,7.512,3d,21.212
PX386831,3,9.233,27.094,20.415,20.451,23.659,23.659,29.545,24.525,24.525,25.121,25.121,3a,9.233,3d,20.415
PX386832,3,9.390,26.923,22.488,20.418,24.487,24.487,28.409,25.316,25.316,26.171,26.171,3a,9.390,3e,20.418
PX386834,3,9.233,27.858,22.967,20.290,23.028,23.028,29.187,26.825,26.825,26.741,26.741,3a,9.233,3e,20.290
PX386835,3,9.703,28.502,21.691,20.451,25.316,25.316,30.195,25.566,25.566,27.302,27.302,3a,9.703,3e,20.451
PX386837,3,9.859,27.814,21.212,21.383,24.961,24.961,29.187,25.475,25.475,28.413,28.413,3a,9.859,3d,21.212
PX386838,3,6.886,28.033,21.372,20.257,24.842,24.842,29.383,25.633,25.633,26.979,26.979,3a,6.886,3e,20.257
PX386842,3,9.859,26.898,19.936,20.129,24.763,24.763,28.409,25.512,25.512,26.290,26.290,3a,9.859,3d,19.936
PX386843,3,8.451,26.206,21.212,20.164,23.223,23.223,29.708,23.576,23.576,25.949,25.949,3a,8.451,3e,20.164
PX386844,3,8.621,26.849,21.212,20.129,25.509,25.509,29.545,25.118,25.118,26.537,26.537,3a,8.621,3e,20.129
PX386847,3,9.921,28.824,21.565,19.324,24.647,24.647,28.618,26.266,26.266,26.667,26.667,3a,9.921,3e,19.324
PX386848,3,8.621,27.471,21.850,19.968,25.156,25.156,28.571,24.961,24.961,25.566,25.566,3a,8.621,3e,19.968
PX386850,3,9.546,27.842,20.767,21.417,24.100,24.100,27.636,25.197,25.197,26.570,26.570,3a,9.546,3d,20.767
PX386854,3,7.981,28.007,21.691,20.645,25.118,25.118,27.922,25.276,25.276,25.765,25.765,3a,7.981,3e,20.645
PX386858,3,7.825,27.632,20.574,19.485,24.684,24.684,28.409,25.000,25.000,25.443,25.443,3a,7.825,3e,19.485
PX386859,3,8.138,28.336,22.329,19.968,23.186,23.186,29.870,26.108,26.108,27.302,27.302,3a,8.138,3e,19.968
PX386860,3,9.077,27.053,21.212,21.095,24.290,24.290,29.708,24.367,24.367,27.141,27.141,3a,9.077,3d,21.212
PX386862,3,7.825,27.094,22.010,20.806,24.487,24.487,28.896,25.158,25.158,27.214,27.214,3a,7.825,3e,20.806
PX386863,3,8.764,27.375,21.053,19.324,22.871,22.871,28.594,25.316,25.316,27.532,27.532,3a,8.764,3e,19.324
PX386865,3,10.172,27.627,23.764,21.095,25.791,25.791,29.383,25.791,25.791,26.892,26.892,3a,10.172,3e,21.095
PX386872,3,8.920,26.601,19.936,20.129,23.028,23.028,29.383,24.525,24.525,24.960,24.960,3a,8.920,3d,19.936
PX386873,3,9.390,30.337,23.285,20.934,24.645,24.645,29.984,25.791,25.791,27.937,27.937,3a,9.390,3e,20.934
PX386874,3,11.111,28.007,21.850,22.061,23.344,23.344,28.734,26.108,26.108,27.302,27.302,3a,11.111,3d,21.850
PX386876,3,10.172,29.126,22.452,20.451,25.710,25.710,28.344,26.307,26.307,29.365,29.365,3a,10.172,3e,20.451
PX386880,3,8.764,27.018,20.415,20.773,23.502,23.502,28.247,24.961,24.961,25.884,25.884,3a,8.764,3d,20.415
PX386883,3,8.607,26.480,20.893,20.290,25.592,25.592,29.221,24.684,24.684,27.625,27.625,3a,8.607,3e,20.290
PX386884,3,9.606,26.689,20.767,19.485,24.647,24.647,27.184,25.119,25.119,26.341,26.341,3a,9.606,3e,19.485
PX386887,3,11.737,27.467,20.447,21.900,25.235,25.235,28.914,25.158,25.158,27.832,27.832,3a,11.737,3d,20.447
PX386888,3,10.172,27.993,21.770,19.716,23.304,23.304,29.529,28.165,28.165,26.978,26.978,3a,10.172,3e,19.716
PX386890,3,10.329,28.995,22.967,21.452,25.710,25.710,29.870,26.266,26.266,28.110,28.110,3a,10.329,3e,21.452
PX386893,3,10.079,28.986,21.885,19.485,24.804,24.804,28.943,26.741,26.741,26.992,26.992,3a,10.079,3e,19.485
PX386896,3,9.546,24.917,19.458,19.163,23.817,23.817,28.734,24.209,24.209,26.248,26.248,3a,9.546,3d,19.458
PX386899,3,8.138,27.393,21.691,20.066,23.975,23.975,29.756,27.215,27.215,28.317,28.317,3a,8.138,3e,20.066
PX386901,3,8.607,27.053,20.255,19.002,23.539,23.539,28.868,25.000,25.000,27.215,27.215,3a,8.607,3e,19.002
PX386902,3,7.199,26.206,20.893,19.968,23.539,23.539,29.187,24.209,24.209,27.619,27.619,3a,7.199,3e,19.968
PX386904,3,12.050,29.469,21.885,22.866,26.489,26.489,29.919,27.215,27.215,28.341,28.341,3a,12.050,3d,21.885
PX386905,3,8.451,28.341,20.734,19.807,23.223,23.223,30.144,25.949,25.949,26.741,26.741,3a,8.451,3e,19.807
PX386910,3,8.607,27.467,22.169,21.095,22.907,22.907,28.896,25.791,25.791,26.656,26.656,3a,8.607,3e,21.095
PX386911,3,8.294,25.843,22.169,21.578,22.555,22.555,28.708,23.734,23.734,27.460,27.460,3a,8.294,3e,21.578
PX386912,3,9.233,28.007,22.169,20.129,25.079,25.079,29.383,25.791,25.791,26.570,26.570,3a,9.233,3e,20.129
PX386914,3,9.233,28.079,20.893,19.968,24.763,24.763,28.708,25.512,25.512,26.806,26.806,3a,9.233,3e,19.968
PX386916,3,7.668,28.502,22.169,19.646,22.433,22.433,28.868,25.316,25.316,27.690,27.690,3a,7.668,3e,19.646
PX386918,3,8.451,27.512,21.212,20.451,24.252,24.252,29.355,25.791,25.791,25.890,25.890,3a,8.451,3e,20.451
PX386919,3,7.042,26.885,22.169,20.451,23.697,23.697,28.571,25.984,25.984,26.892,26.892,3a,7.042,3e,20.451
PX386920,3,7.981,27.018,20.096,20.645,23.502,23.502,28.389,25.791,25.791,26.171,26.171,3a,7.981,3d,20.096
PX386921,3,8.833,27.814,21.372,21.578,23.052,23.052,29.665,26.424,26.424,28.323,28.323,3a,8.833,3d,21.372
PX386925,3,11.268,26.974,21.145,20.934,24.329,24.329,28.411,25.949,25.949,26.494,26.494,3a,11.268,3e,20.934
PX386928,3,8.920,27.750,21.975,20.290,22.397,22.397,27.866,26.266,26.266,26.409,26.409,3a,8.920,3e,20.290
PX386929,3,10.798,27.492,21.463,21.639,26.066,26.066,28.549,26.424,26.424,27.464,27.464,3a,10.798,3d,21.463
PX386933,3,8.294,28.250,20.734,20.579,24.803,24.803,29.058,24.842,24.842,26.248,26.248,3a,8.294,3d,20.734
PX386934,3,8.294,28.476,21.850,21.256,25.710,25.710,29.383,25.949,25.949,29.564,29.564,3a,8.294,3e,21.256
PX386941,3,12.363,29.160,22.010,23.027,25.552,25.552,30.032,27.690,27.690,28.918,28.918,3a,12.363,3d,22.010
PX386942,3,9.703,27.536,21.531,20.579,24.803,24.803,28.436,25.079,25.079,27.778,27.778,3a,9.703,3e,20.579
PX386943,3,8.920,27.769,23.285,20.934,25.276,25.276,29.288,26.108,26.108,27.937,27.937,3a,8.920,3e,20.934
PX386945,3,8.294,27.422,21.372,20.773,24.051,24.051,29.545,25.316,25.316,27.787,27.787,3a,8.294,3e,20.773
PX386946,3,8.138,29.489,20.734,21.095,23.697,23.697,28.571,24.567,24.567,27.625,27.625,3a,8.138,3d,20.734
PX386950,3,10.172,27.677,20.223,20.451,23.622,23.622,28.687,26.190,26.190,27.053,27.053,3a,10.172,3d,20.223
PX386957,3,7.344,28.336,20.415,22.186,24.606,24.606,29.545,26.382,26.382,27.053,27.053,3a,7.344,3d,20.415
PX386959,3,7.355,27.806,19.777,20.290,24.448,24.448,29.545,26.190,26.190,27.625,27.625,3a,7.355,3d,19.777
PX386960,3,9.795,28.830,21.850,20.773,26.115,26.115,28.896,26.457,26.457,27.948,27.948,3a,9.795,3e,20.773
PX386966,3,27.673,13.205,23.558,25.884,22.713,22.713,31.360,22.771,22.771,26.325,26.325,3b,13.205,3i,22.771
PX386967,3,27.760,12.721,24.880,25.884,21.855,21.855,29.600,19.904,19.904,27.229,27.229,3b,12.721,3i,19.904
PX386968,3,28.399,28.710,26.393,27.724,28.639,28.639,22.712,28.730,28.730,27.974,27.974,3h,22.712,3d,26.393
PX386970,3,30.179,29.677,26.721,28.358,28.730,28.730,23.203,28.254,28.254,28.130,28.130,3h,23.203,3d,26.721
PX386972,3,28.594,31.723,28.868,27.053,31.479,31.479,8.931,30.161,30.161,31.129,31.129,3h,8.931,3e,27.053
PX386973,3,26.730,13.205,24.077,26.045,20.978,20.978,29.545,22.452,22.452,26.923,26.923,3b,13.205,3g,20.978
PX387005,3,11.581,29.276,21.725,20.934,26.066,26.066,29.593,26.307,26.307,28.433,28.433,3a,11.581,3e,20.934
PX387017,3,7.668,27.512,21.053,19.324,22.555,22.555,28.896,24.127,24.127,26.494,26.494,3a,7.668,3e,19.324
PX387026,3,8.138,28.995,21.850,20.161,23.975,23.975,28.571,26.424,26.424,26.409,26.409,3a,8.138,3e,20.161
PX387027,3,9.233,28.501,22.010,21.256,25.394,25.394,30.195,26.582,26.582,27.787,27.787,3a,9.233,3e,21.256
PX387031,3,7.199,27.677,22.169,19.646,23.975,23.975,29.383,25.316,25.316,26.409,26.409,3a,7.199,3e,19.646
PX387034,3,9.233,28.824,22.134,22.544,25.079,25.079,29.618,25.633,25.633,28.254,28.254,3a,9.233,3d,22.134
PX387038,3,8.764,27.214,22.010,19.646,23.659,23.659,28.230,25.434,25.434,26.508,26.508,3a,8.764,3e,19.646
PX387039,3,7.199,26.765,21.691,20.773,23.975,23.975,29.221,26.582,26.582,27.214,27.214,3a,7.199,3e,20.773
PX468927,3,8.607,27.564,21.338,19.163,24.487,24.487,28.549,24.684,24.684,26.349,26.349,3a,8.607,3e,19.163
PX468928,3,9.390,28.341,21.053,19.646,25.237,25.237,29.346,25.158,25.158,26.624,26.624,3a,9.390,3e,19.646
PX468929,3,6.729,27.697,20.860,19.646,23.344,23.344,28.503,25.197,25.197,27.143,27.143,3a,6.729,3e,19.646
PX468930,3,7.981,26.892,21.212,20.612,22.871,22.871,29.346,25.158,25.158,25.949,25.949,3a,7.981,3e,20.612
PX468931,3,8.607,26.892,21.053,20.290,23.697,23.697,28.549,24.684,24.684,27.143,27.143,3a,8.607,3e,20.290
PX468932,3,8.138,27.375,19.617,19.324,23.344,23.344,27.592,25.039,25.039,26.984,26.984,3a,8.138,3d,19.617
PX468933,3,6.729,28.502,21.246,19.646,22.692,22.692,28.754,25.316,25.316,26.667,26.667,3a,6.729,3e,19.646
EU826174,3,7.512,27.697,20.223,21.095,22.275,22.275,28.822,24.842,24.842,27.619,27.619,3a,7.512,3d,20.223
EU826175,3,7.668,27.214,19.904,21.578,22.275,22.275,28.981,25.000,25.000,28.095,28.095,3a,7.668,3d,19.904
EU826176,3,7.355,27.375,19.427,21.095,22.275,22.275,28.503,24.684,24.684,27.778,27.778,3a,7.355,3d,19.427
EU826177,3,7.535,27.375,19.904,20.934,22.662,22.662,28.822,24.684,24.684,27.619,27.619,3a,7.535,3d,19.904
EU826178,3,7.668,27.536,20.382,21.417,22.749,22.749,28.662,25.158,25.158,28.254,28.254,3a,7.668,3d,20.382
EU826179,3,7.512,27.287,20.223,21.256,22.749,22.749,28.662,25.158,25.158,28.095,28.095,3a,7.512,3d,20.223
EU826180,3,7.512,27.697,19.586,21.256,22.275,22.275,28.822,24.684,24.684,27.778,27.778,3a,7.512,3d,19.586
EU826181,3,7.355,27.536,19.745,21.417,22.117,22.117,28.822,24.842,24.842,27.937,27.937,3a,7.355,3d,19.745
EU826182,3,7.199,27.375,19.904,20.934,21.959,21.959,28.822,24.367,24.367,27.460,27.460,3a,7.199,3d,19.904
EU826183,3,7.199,27.536,20.223,20.934,22.433,22.433,28.662,24.842,24.842,27.778,27.778,3a,7.199,3d,20.223
EU826184,3,7.199,27.375,19.904,20.934,21.959,21.959,28.822,24.367,24.367,27.460,27.460,3a,7.199,3d,19.904
EU826185,3,7.199,27.214,20.382,20.612,22.117,22.117,28.981,24.525,24.525,27.460,27.460,3a,7.199,3d,20.382
EU826186,3,7.199,27.536,19.904,21.256,22.749,22.749,28.503,25.158,25.158,28.095,28.095,3a,7.199,3d,19.904
EU826187,3,7.042,27.214,19.777,21.095,22.117,22.117,28.868,24.525,24.525,27.619,27.619,3a,7.042,3d,19.777
EU826188,3,7.199,27.375,19.586,21.256,22.275,22.275,28.662,24.684,24.684,27.778,27.778,3a,7.199,3d,19.586
EU826189,3,7.981,27.331,21.406,21.095,23.354,23.354,29.393,25.791,25.791,27.619,27.619,3a,7.981,3e,21.095
EU826190,3,7.512,27.492,20.734,21.256,23.065,23.065,29.187,25.158,25.158,27.619,27.619,3a,7.512,3d,20.734
EU826191,3,7.042,27.170,20.893,21.417,22.907,22.907,29.027,25.158,25.158,28.095,28.095,3a,7.042,3d,20.893
EU826192,3,7.825,27.331,20.734,21.256,23.381,23.381,29.027,25.158,25.158,27.143,27.143,3a,7.825,3d,20.734
EU826193,3,7.668,27.331,21.053,21.900,23.697,23.697,29.346,24.684,24.684,27.778,27.778,3a,7.668,3d,21.053
EU826194,3,7.825,27.331,21.053,21.739,23.381,23.381,28.868,25.000,25.000,28.095,28.095,3a,7.825,3d,21.053
EU826195,3,8.294,26.849,21.212,21.256,23.381,23.381,29.984,25.158,25.158,27.143,27.143,3a,8.294,3d,21.212
EU826196,3,7.199,27.331,20.415,21.578,23.223,23.223,29.027,24.525,24.525,27.302,27.302,3a,7.199,3d,20.415
EU826197,3,7.512,27.492,20.734,21.578,23.065,23.065,29.346,25.158,25.158,27.619,27.619,3a,7.512,3d,20.734
EU826198,3,7.668,27.331,21.053,21.739,23.381,23.381,29.027,25.000,25.000,27.778,27.778,3a,7.668,3d,21.053
EU826199,3,7.199,26.849,20.893,21.256,23.223,23.223,29.506,25.158,25.158,27.302,27.302,3a,7.199,3d,20.893
EU826200,3,7.221,27.331,20.574,21.417,22.821,22.821,28.708,25.158,25.158,27.619,27.619,3a,7.221,3d,20.574
EU826201,3,7.355,27.170,20.734,21.417,23.065,23.065,29.027,25.158,25.158,28.095,28.095,3a,7.355,3d,20.734
EU826202,3,7.825,27.331,20.734,21.256,23.065,23.065,29.187,24.684,24.684,27.460,27.460,3a,7.825,3d,20.734
EU826203,3,8.138,27.170,20.893,21.417,23.539,23.539,29.187,24.842,24.842,27.302,27.302,3a,8.138,3d,20.893
EU826204,3,7.825,27.053,20.255,19.968,23.381,23.381,29.187,24.684,24.684,26.825,26.825,3a,7.825,3d,20.255
EU826205,3,7.825,27.053,20.255,19.968,23.381,23.381,29.187,24.684,24.684,26.825,26.825,3a,7.825,3d,20.255
EU826206,3,7.825,26.849,20.255,20.612,23.539,23.539,28.708,24.051,24.051,26.825,26.825,3a,7.825,3d,20.255
EU826207,3,8.138,27.214,20.734,20.290,23.855,23.855,29.346,24.842,24.842,26.984,26.984,3a,8.138,3e,20.290
EU826208,3,7.512,27.375,19.268,21.578,22.240,22.240,28.822,24.842,24.842,26.825,26.825,3a,7.512,3d,19.268
EU826209,3,7.825,28.019,21.691,20.129,24.487,24.487,29.346,24.684,24.684,26.508,26.508,3a,7.825,3e,20.129
EU826210,3,8.138,27.331,20.734,20.290,23.855,23.855,29.187,24.525,24.525,27.143,27.143,3a,8.138,3e,20.290
EU826211,3,7.981,26.892,19.936,20.129,23.223,23.223,29.346,23.892,23.892,26.667,26.667,3a,7.981,3d,19.936
EU826212,3,7.981,27.214,20.415,20.129,23.539,23.539,29.346,24.842,24.842,26.825,26.825,3a,7.981,3d,20.415
EU826213,3,7.825,27.053,20.255,19.968,23.381,23.381,29.187,24.684,24.684,26.825,26.825,3a,7.825,3d,20.255
EU826214,3,7.668,26.570,20.574,20.290,24.013,24.013,29.346,24.209,24.209,26.190,26.190,3a,7.668,3d,20.574
EU826215,3,8.138,27.214,20.734,20.290,23.697,23.697,29.346,25.000,25.000,26.667,26.667,3a,8.138,3e,20.290
EU826216,3,7.981,27.053,19.268,19.968,23.855,23.855,28.344,25.158,25.158,26.190,26.190,3a,7.981,3d,19.268
EU826217,3,7.981,27.536,20.734,20.129,23.539,23.539,29.506,24.842,24.842,26.984,26.984,3a,7.981,3e,20.129
EU826218,3,7.981,27.214,20.415,20.129,23.539,23.539,29.346,24.842,24.842,26.984,26.984,3a,7.981,3d,20.415
EU826219,3,6.886,28.341,21.725,19.807,23.161,23.161,28.435,25.316,25.316,27.215,27.215,3a,6.886,3e,19.807
EU826220,3,7.199,28.019,21.053,20.129,23.344,23.344,28.389,24.525,24.525,27.302,27.302,3a,7.199,3e,20.129
EU826221,3,7.355,28.341,22.010,20.129,23.975,23.975,29.027,25.158,25.158,27.302,27.302,3a,7.355,3e,20.129
EU826222,3,7.512,28.296,21.086,18.971,23.824,23.824,28.594,25.158,25.158,26.984,26.984,3a,7.512,3e,18.971
EU826223,3,6.103,28.663,21.246,19.968,23.161,23.161,28.275,25.316,25.316,27.057,27.057,3a,6.103,3e,19.968
EU826224,3,6.260,27.858,21.053,20.451,22.397,22.397,28.868,25.158,25.158,27.302,27.302,3a,6.260,3e,20.451
EU826225,3,6.103,28.341,21.053,20.290,22.871,22.871,29.027,25.316,25.316,27.778,27.778,3a,6.103,3e,20.290
EU826226,3,5.477,28.824,21.531,20.290,22.871,22.871,28.389,24.842,24.842,26.899,26.899,3a,5.477,3e,20.290
EU826227,3,5.634,28.663,21.372,20.129,22.713,22.713,28.230,24.684,24.684,26.741,26.741,3a,5.634,3e,20.129
EU826228,3,7.668,27.858,22.364,19.002,23.631,23.631,28.594,25.237,25.237,27.460,27.460,3a,7.668,3e,19.002
EU826229,3,5.790,28.824,21.372,20.451,23.186,23.186,28.389,24.842,24.842,26.899,26.899,3a,5.790,3e,20.451
EU826230,3,6.573,28.341,22.329,19.163,23.186,23.186,28.549,25.158,25.158,27.302,27.302,3a,6.573,3e,19.163
EU826231,3,5.634,28.986,21.691,20.451,23.028,23.028,28.549,25.000,25.000,26.741,26.741,3a,5.634,3e,20.451
EU826232,3,7.981,28.314,21.565,19.453,24.451,24.451,28.687,25.475,25.475,26.825,26.825,3a,7.981,3e,19.453
EU826233,3,7.199,28.986,21.850,19.968,23.975,23.975,28.708,25.000,25.000,27.302,27.302,3a,7.199,3e,19.968
EU826234,3,6.260,27.375,21.531,20.451,22.555,22.555,28.708,24.209,24.209,25.949,25.949,3a,6.260,3e,20.451
EU826235,3,6.573,27.287,22.010,20.612,22.713,22.713,29.027,24.367,24.367,26.741,26.741,3a,6.573,3e,20.612
EU826236,3,6.886,28.341,22.169,21.095,22.642,22.642,29.027,24.525,24.525,27.057,27.057,3a,6.886,3e,21.095
EU826237,3,6.103,27.422,21.850,20.612,22.240,22.240,28.708,24.209,24.209,26.003,26.003,3a,6.103,3e,20.612
EU826238,3,5.790,27.697,20.893,20.612,22.240,22.240,28.389,23.734,23.734,26.266,26.266,3a,5.790,3d,20.893
EU826239,3,5.790,27.536,21.531,20.290,22.082,22.082,28.868,24.051,24.051,26.424,26.424,3a,5.790,3e,20.290
EU826240,3,6.260,27.869,21.120,20.679,22.713,22.713,28.641,23.892,23.892,26.442,26.442,3a,6.260,3e,20.679
EU826241,3,5.947,27.697,21.053,20.290,22.240,22.240,28.549,23.734,23.734,26.266,26.266,3a,5.947,3e,20.290
EU826242,3,6.573,27.858,20.893,19.485,23.344,23.344,28.868,23.576,23.576,26.108,26.108,3a,6.573,3e,19.485
EU826243,3,6.260,27.536,21.691,20.612,22.397,22.397,28.708,23.576,23.576,26.108,26.108,3a,6.260,3e,20.612
EU826244,3,6.416,27.375,21.372,20.161,22.713,22.713,28.070,23.892,23.892,26.582,26.582,3a,6.416,3e,20.161
EU826245,3,6.416,27.796,21.850,20.259,22.152,22.152,28.549,24.051,24.051,26.645,26.645,3a,6.416,3e,20.259
EU826246,3,6.103,28.019,21.053,20.451,22.555,22.555,28.549,24.051,24.051,26.582,26.582,3a,6.103,3e,20.451
EU826247,3,6.103,28.019,21.053,20.451,22.555,22.555,28.549,24.051,24.051,26.582,26.582,3a,6.103,3e,20.451
EU826248,3,6.260,27.536,20.893,20.129,22.713,22.713,28.549,23.892,23.892,26.424,26.424,3a,6.260,3e,20.129
EU826249,3,8.451,26.849,19.777,19.132,24.684,24.684,27.751,24.367,24.367,26.032,26.032,3a,8.451,3e,19.132
EU826250,3,8.451,26.849,19.777,19.132,24.684,24.684,27.751,24.367,24.367,26.032,26.032,3a,8.451,3e,19.132
EU826251,3,8.607,27.492,20.255,19.453,24.961,24.961,28.070,25.000,25.000,26.667,26.667,3a,8.607,3e,19.453
EU826252,3,8.451,27.010,20.096,19.453,24.448,24.448,27.751,24.525,24.525,26.349,26.349,3a,8.451,3e,19.453
EU826253,3,8.138,28.019,20.350,19.968,24.132,24.132,28.389,24.842,24.842,26.190,26.190,3a,8.138,3e,19.968
EU826254,3,8.294,27.010,19.936,19.293,24.645,24.645,27.911,24.525,24.525,26.190,26.190,3a,8.294,3e,19.293
EU826255,3,8.764,26.688,19.617,19.453,24.684,24.684,27.911,24.367,24.367,26.032,26.032,3a,8.764,3d,19.617
EU826256,3,9.077,27.406,20.415,19.775,25.202,25.202,28.454,25.158,25.158,26.825,26.825,3a,9.077,3e,19.775
EU826257,3,8.294,27.010,19.936,19.293,24.645,24.645,27.911,24.525,24.525,26.190,26.190,3a,8.294,3e,19.293
EU826258,3,8.607,27.010,19.936,19.614,24.645,24.645,28.230,24.525,24.525,26.190,26.190,3a,8.607,3d,19.936
EU826259,3,8.294,26.849,20.096,19.453,24.645,24.645,28.230,24.684,24.684,26.190,26.190,3a,8.294,3e,19.453
EU826260,3,8.451,27.010,19.936,19.293,24.803,24.803,27.911,24.525,24.525,26.190,26.190,3a,8.451,3e,19.293
EU826261,3,8.451,27.170,19.936,19.453,24.803,24.803,27.911,24.684,24.684,26.032,26.032,3a,8.451,3d,19.936
EU826262,3,9.077,27.492,20.255,19.775,25.118,25.118,28.549,25.000,25.000,26.349,26.349,3a,9.077,3d,20.255
EU826263,3,7.668,28.341,20.415,19.807,24.448,24.448,28.868,25.000,25.000,26.825,26.825,3a,7.668,3e,19.807
EU826264,3,6.583,27.492,21.053,20.290,23.631,23.631,28.708,25.000,25.000,27.663,27.663,3a,6.583,3e,20.290
EU826265,3,7.053,26.849,21.531,20.129,23.787,23.787,28.708,24.209,24.209,27.822,27.822,3a,7.053,3e,20.129
EU826266,3,7.680,27.492,22.010,20.612,24.570,24.570,29.346,25.000,25.000,28.299,28.299,3a,7.680,3e,20.612
EU826267,3,6.740,27.331,21.053,19.968,23.631,23.631,28.708,24.606,24.606,27.663,27.663,3a,6.740,3e,19.968
EU826268,3,6.740,27.331,21.053,20.129,23.631,23.631,28.868,24.842,24.842,27.663,27.663,3a,6.740,3e,20.129
EU826269,3,6.740,27.331,21.053,20.129,23.631,23.631,28.868,24.842,24.842,27.663,27.663,3a,6.740,3e,20.129
EU826270,3,6.740,27.170,20.893,20.129,23.474,23.474,28.868,24.842,24.842,27.504,27.504,3a,6.740,3e,20.129
EU826271,3,6.740,27.331,21.212,20.129,23.474,23.474,29.027,24.803,24.803,27.663,27.663,3a,6.740,3e,20.129
EU826272,3,6.740,27.492,21.053,19.807,23.787,23.787,28.549,24.684,24.684,27.663,27.663,3a,6.740,3e,19.807
EU826273,3,7.680,28.135,21.531,19.775,23.631,23.631,28.708,25.158,25.158,27.981,27.981,3a,7.680,3e,19.775
EU826274,3,6.740,27.170,20.893,20.129,23.474,23.474,28.868,24.645,24.645,27.822,27.822,3a,6.740,3e,20.129
EU826275,3,6.583,27.331,21.053,19.968,23.631,23.631,28.708,24.684,24.684,27.663,27.663,3a,6.583,3e,19.968
EU826276,3,6.740,27.653,21.372,19.968,23.474,23.474,29.027,24.684,24.684,27.981,27.981,3a,6.740,3e,19.968
EU826277,3,6.583,27.331,21.053,19.968,23.631,23.631,28.708,24.684,24.684,27.663,27.663,3a,6.583,3e,19.968
EU826278,3,6.740,27.653,21.531,20.451,23.944,23.944,28.868,25.158,25.158,28.140,28.140,3a,6.740,3e,20.451
